t,temp,press,vib,severity,anom_temp,anom_press,anom_vib
180,60.26275842998627,5.337175977170929,2.1348491390641846,WARN,0,1,0
181,60.36949986544334,5.217219875747364,2.3990574978417447,OK,0,0,0
182,60.063968812108065,5.229099892644588,2.2193086334192613,OK,0,0,0
183,59.54713423947599,5.394532364957959,2.2052574602839266,WARN,0,1,0
184,60.12288727245543,5.240713250813144,2.1501013523368258,OK,0,0,0
185,59.265807808323046,5.358664513522382,2.1169528665124653,OK,0,0,0
186,60.07731184867788,5.154696930464157,2.5550399993426507,WARN,0,0,1
187,60.28019415289165,5.234674817643779,2.077863013023536,OK,0,0,0
188,61.27650238749716,5.188058412212598,2.369218176129636,WARN,1,0,0
189,59.63352068170031,5.221182032854053,2.2860017753838138,OK,0,0,0
190,59.62521495513687,5.254731128548422,2.301776845931489,OK,0,0,0
191,60.032155875357205,5.387105627379805,2.1569059454069275,OK,0,0,0
192,60.6164105980876,5.210614588510394,2.602707901590569,WARN,0,0,1
193,61.63688874997066,5.275368798894331,2.302991224112867,WARN,1,0,0
194,60.39015761299937,5.243129881577097,2.3214822871310945,OK,0,0,0
195,61.24282529715107,5.355403945062233,2.2220141730738443,OK,0,0,0
196,61.218222500354535,5.183048761689139,2.1836485132545147,OK,0,0,0
197,59.63723377914569,5.276786175368997,2.2385981238402706,OK,0,0,0
198,60.17746123749991,5.409230454461043,2.2623863287850496,OK,0,0,0
199,60.139213428299165,5.398574163057167,2.1471608625212766,OK,0,0,0
200,61.54531762535969,5.3737392059292395,2.1820473003394576,WARN,1,0,0
201,61.59396006942069,5.3311868998559415,2.201673293464732,WARN,1,0,0
202,60.01893072350333,5.291718172203753,2.2097237377306005,OK,0,0,0
203,61.29575548978507,5.316201793939777,2.002257644192261,OK,0,0,0
204,61.45865213885149,5.332800713821748,2.110680259793914,OK,0,0,0
205,61.08780940351973,5.319863548893996,2.240743809466061,OK,0,0,0
206,60.858600786387825,5.337833038794319,2.3272692012053433,OK,0,0,0
207,60.51294089639828,5.353193757695282,2.333385987541467,OK,0,0,0
208,60.68432061365595,5.222575514494457,2.3963401292421342,OK,0,0,0
209,60.101175889807415,5.505320990421434,2.3008947347739075,WARN,0,1,0
210,60.4402676923109,5.5433556494052025,2.2087378942065445,WARN,0,1,0
211,63.43726470754191,5.272355845977288,2.434271274982946,ALERT,1,0,0
212,60.15576836761327,5.210618918223963,2.122510769960546,OK,0,0,0
213,60.458661607328814,5.309099329054446,2.2125189134146375,OK,0,0,0
214,59.442680762669674,5.2870168456048745,2.26885561396683,OK,0,0,0
